Study;PublicationYear;Day;Hour;IL6_pgml-1;IL6_errorvalue;IL6_sem;n;IL6_sd;TimeFromCatheter_h;Sleep;TimeAsleep;TimeAwake
Born1997;1997;1;8;9,868440612;2,543481492;7,32495912;10;23,16355459;0;0;;
Born1997;1997;1;11;7,349487141;4,250037164;3,099449978;10;9,801321423;3;0;;
Born1997;1997;1;14;6,519994054;3,703731232;2,816262821;10;8,905805005;6;0;;
Born1997;1997;1;17;16,11565334;6,537832615;9,577820722;10;30,2877285;9;0;;
Born1997;1997;1;20;9,93384867;5,991526684;3,942321986;10;12,46671675;12;0;;
Born1997;1997;1;23;7,414895198;3,754273822;3,660621377;10;11,5759012;15;0;;
Born1997;1997;1;26;16,16470938;24,05232645;7,887617066;10;24,94283524;18;1;3;
Born1997;1997;2;29;13,3640553;4,913037015;8,451018285;10;26,72446633;21;1;6;
Born1997;1997;2;32;13,94529508;9,436598781;4,508696298;10;14,25774958;24;1;8;
Born1997;1997;2;35;25,51062881;16,2145087;9,296120113;10;29,39691296;27;0;;
Born1997;1997;2;38;24,681879;14,82310094;9,858778059;10;31,17619361;30;0;;
Born1997;1997;2;41;21,03686636;11,74000297;9,296863386;10;29,3992634;33;0;;
Born1997;1997;2;44;19,92641594;28,65764828;8,731232347;10;27,610581;36;0;;
Born1997;1997;2;47;17,69064962;25,29507953;7,604429909;10;24,04731882;39;0;;
Born1997;1997;3;50;17,42381448;25,59313215;8,169317675;10;25,83365078;42;0;;
Born1997;1997;3;53;15,18730489;21,38397503;6,196670135;10;19,59559154;45;1;3;
Born1997;1997;3;56;15,48535751;9,568901442;5,916456073;10;18,70947687;48;1;6;
Born1997;1997;3;59;21,13646499;30,15014122;9,01367623;10;28,50374698;51;1;9;
Späth-Schwalbe1998;1998;1;18,5;1,041666667;-0,520833333;1,5625;16;6,25;0;0;;
Späth-Schwalbe1998;1998;1;22,5;2,604166667;1,5625;1,041666667;16;4,166666667;4;0;;
Späth-Schwalbe1998;1998;2;25,5;4,166666667;1,5625;2,604166667;16;10,41666667;7;1;3;
Späth-Schwalbe1998;1998;2;31,5;6,25;4,166666667;2,083333333;16;8,333333333;13;1;9;
Dugue1998;1998;1;8;1,75;NA;NA;22;NA;0;0;;
Dugue1998;1998;1;9,5;1,36;NA;NA;22;NA;1,5;0;;
Dugue1998;1998;1;11;1,91;NA;NA;22;NA;3;0;;
Vgontzas1999;1999;1;8;1,033282708;0,727978938;0,30530377;8;0,863529465;0;0;;
Vgontzas1999;1999;1;9;0,928343588;0,634759134;0,293584454;8;0,830382234;1;0;;
Vgontzas1999;1999;1;10;1,046472508;0,788157401;0,258315107;8;0,730625455;2;0;;
Vgontzas1999;1999;1;11;1,317264453;1,04718547;0,270078983;8;0,763898721;3;0;;
Vgontzas1999;1999;1;12;1,364943799;1,106628692;0,258315107;8;0,730625455;4;0;;
Vgontzas1999;1999;1;13;1,330454253;1,048655955;0,281798299;8;0,797045951;5;0;;
Vgontzas1999;1999;1;14;1,472088645;1,213773538;0,258315107;8;0,730625455;6;0;;
Vgontzas1999;1999;1;15;1,531531866;1,273216759;0,258315107;8;0,730625455;7;0;;
Vgontzas1999;1999;1;16;2,119369177;1,86103179;0,258337387;8;0,730688473;8;0;;
Vgontzas1999;1999;1;17;1,744373355;1,486035967;0,258337387;8;0,730688473;9;0;;
Vgontzas1999;1999;1;18;2,226491743;1,956435041;0,270056703;8;0,763835703;10;0;;
Vgontzas1999;1999;1;19;2,978689115;2,708610132;0,270078983;8;0,763898721;11;0;;
Vgontzas1999;1999;1;20;2,392322289;2,11052399;0,281798299;8;0,797045951;12;0;;
Vgontzas1999;1999;1;21;2,040809658;1,770730675;0,270078983;8;0,763898721;13;0;;
Vgontzas1999;1999;1;22;2,194185645;1,924151222;0,270034423;8;0,763772686;14;0;;
Vgontzas1999;1999;1;23;2,99332712;2,735012013;0,258315107;8;0,730625455;15;1;1;
Vgontzas1999;1999;2;24;2,817960705;2,536140127;0,281820579;8;0,797108969;16;1;2;
Vgontzas1999;1999;2;25;3,08873037;2,830415263;0,258315107;8;0,730625455;17;1;3;
Vgontzas1999;1999;2;26;4,780277684;4,498457105;0,281820579;8;0,797108969;18;1;4;
Vgontzas1999;1999;2;27;4,006045325;3,735988622;0,270056703;8;0,763835703;19;1;5;
Vgontzas1999;1999;2;28;4,218107011;3,924589397;0,293517614;8;0,830193182;20;1;6;
Vgontzas1999;1999;2;29;5,604350555;5,322552256;0,281798299;8;0,797045951;21;1;7;
Vgontzas1999;1999;2;30;4,689241327;4,407420748;0,281820579;8;0,797108969;22;1;8;
Vgontzas1999;1999;2;31;3,891525776;3,621491353;0,270034423;8;0,763772686;23;0;;
Undar1999;1999;1;6;6,08832851;7,322998484;1,234669974;10;3,904369276;0;0;;
Undar1999;1999;1;9;5,821620504;6,673832162;0,852211658;10;2,694929887;0;0;;
Undar1999;1999;1;12;4,937095218;5,759887006;0,822791787;10;2,601896088;0;0;;
Undar1999;1999;1;15;4,846906435;5,494143586;0,64723715;10;2,046743581;0;0;;
Undar1999;1999;1;18;4,934201461;5,845252859;0,911051399;10;2,880997485;0;0;;
Undar1999;1999;1;21;4,901887832;5,666804465;0,764916632;10;2,418878778;0;0;;
Undar1999;1999;1;24;5,077442469;6,048298195;0,970855726;10;3,070115372;0;0;;
Späth-Schwalbe2000;2000;1;22,5;1,849710983;2,265895954;0,416184971;18;1,765723292;0;0;;
Späth-Schwalbe2000;2000;2;25,5;1,803468208;2,265895954;0,462427746;18;1,961914769;3;1;3;
Späth-Schwalbe2000;2000;2;30,5;1,710982659;2,12716763;0,416184971;18;1,765723292;8;1;8;
Redwine2000;2000;1;22,5;1,06;1,24;0,182841569;31;1,018018771;0;0;;15,5
Redwine2000;2000;1;23;1,15;1,36;0,207844531;31;1,157229375;0,5;0;;16
Redwine2000;2000;1;23,5;1,27;1,47;0,198957222;31;1,107746933;1;0;;16,5
Redwine2000;2000;2;24;1,38;1,57;0,183315559;31;1,020657835;1,5;1;0,5;
Redwine2000;2000;2;24,5;1,61;1,88;0,277639531;31;1,545831485;2;1;1;
Redwine2000;2000;2;25;1,61;1,87;0,262471857;31;1,461381451;2,5;1;1,5;
Redwine2000;2000;2;25,5;1,65;1,96;0,301931508;31;1,681083493;3;1;2;
Redwine2000;2000;2;26;2,33;2,79;0,4604811;31;2,563850256;3,5;1;2,5;
Redwine2000;2000;2;26,5;1,76;1,97;0,215309871;31;1,198794626;4;1;3;
Redwine2000;2000;2;27;1,77;1,99;0,215072876;31;1,197475094;4,5;1;3,5;
Redwine2000;2000;2;27,5;1,8;2,03;0,23071454;31;1,284564192;5;1;4;
Redwine2000;2000;2;28;1,71;1,95;0,237705889;31;1,323490379;5,5;1;4,5;
Redwine2000;2000;2;28,5;1,67;1,92;0,254769522;31;1,418496668;6;1;5;
Redwine2000;2000;2;29;1,8;2,09;0,293518189;31;1,634240115;6,5;1;5,5;
Redwine2000;2000;2;29,5;1,7;2,01;0,309870838;31;1,725287808;7;1;6;
Haack2000;2000;1;9;2,351145038;2,961832061;0,610687023;20;2,731075392;0;0;;
Haack2000;2000;1;10;1,740458015;2,290076336;0,549618321;20;2,457967853;1;0;;
Haack2000;2000;1;11;3,572519084;4,427480916;0,854961832;20;3,823505549;2;0;;
Haack2000;2000;1;12;5,160305344;6,167938931;1,007633588;20;4,506274397;3;0;;
Haack2000;2000;1;13;5,099236641;5,801526718;0,702290076;20;3,140736701;4;0;;
Haack2000;2000;1;14;4,763358779;6,045801527;1,282442748;20;5,735258324;5;0;;
Haack2000;2000;1;15;3,511450382;4,305343511;0,79389313;20;3,55039801;6;0;;
Haack2000;2000;1;18;4,335877863;5,099236641;0,763358779;20;3,41384424;9;0;;
Haack2000;2000;1;19;5,709923664;6,93129771;1,221374046;20;5,462150785;10;0;;
Vgontzas2000healthy;2000;1;6,5;1,46;;0,24;12;0,831384388;0;0;;
Vgontzas2000healthy;2000;1;19,5;1,52;;0,25;12;0,866025404;0;0;;
Vgontzas2000obese;2000;1;6,5;1,86;;0,29;11;0,961821189;0;0;;
Vgontzas2000obese;2000;1;19,5;2,71;;0,5;11;1,658312395;0;0;;
Baker2001;2001;1;11,67;4,485461609;3,571277631;0,914183978;8;2,585702761;0;0;;
Baker2001;2001;1;12,67;3,984692052;3,349245834;0,635446218;8;1,79731332;1;0;;
Baker2001;2001;1;13,67;6,345077746;4,596777011;1,748300735;8;4,94494122;2;0;;
Baker2001;2001;1;14,67;7,592608924;8,745197547;1,152588624;8;3,260012927;3;0;;
Baker2001;2001;1;15,67;7,926255626;6,257423107;1,668832519;8;4,720171165;4;0;;
Baker2001;2001;1;16,67;7,385152955;5,796088154;1,589064801;8;4,494553986;5;0;;
Haack2001;2001;1;0;6,101694915;3,389830508;2,711864407;10;8,575668231;6,5;1;1;
Haack2001;2001;1;1;12,88135593;8,813559322;4,06779661;10;12,86350235;7,5;1;2;
Haack2001;2001;1;2;10,84745763;7,457627119;3,389830508;10;10,71958529;8,5;1;3;
Haack2001;2001;1;3;16,94915254;12,20338983;4,745762712;10;15,0074194;9,5;1;4;
Haack2001;2001;1;4;16,94915254;12,20338983;4,745762712;10;15,0074194;10,5;1;5;
Haack2001;2001;1;5;21,69491525;14,91525424;6,779661017;10;21,43917058;11,5;1;6;
